File is in format EMAIL PASSWORD STAFF/CUSTOMER.  Do not add empty lines or trailing/leading whitespace!
admin admin S
cust cust C
mark@live.co.uk pa$$word S
bob@hotmail.com hello C
nigel@gmail.co.uk pass C
fraz@yahoo.com fraz S
bob@d d S
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
d d C
mark@mark mark S
